idx,text,your_label
24,Allah sene rehmet elesin ay Roma baba),1
25,"S?kid? (xüsus?n dar) g?z?rk?n siqar?t ç?kir, anid?n üfürür v? o tüstünü udaraq keçm?li olursan   Ümumiyy?tl? siqar?t ç?k?rk?n bir t?r?fd? 5 d?qiq? sabit dayan?b ç?km?k ?n göz?li olard?.",3
26,"Ay, nec? d? h?yacanl?d?rlar, canlar?m !",1
27,Men bilen ilk deyil bu. Evelde bir insana köçürmüsdüler ama óldü adam.,3
28,"Fransan?n ill?r üzr? idxal etdiyi t?bii qaz?n ölk?l?r üzr? nisb?t bölgüsü. Burdan da göründüyü kimi Az?rbaycan qaz? verdi ya k?sdi, Fransan?n qozuna bel? deyil. Q?? g?lir, odun yand?racaqlar kimi commentl?r yaz?b öz özünüz? kayf almay?n",3
29,LANDAU School bu t?kc? G?nclik korpusunun 1hisss?sidi,2
30,"Internet òdeniwime 2 gùn galm?w internetimi esass?z bagladilar. Zeng vurdum defelerle, mesaj yazdim, amma veclerinede olmad?. Emekdash (Eynulla) kefi isteyende cavab verir,hele meni borclu c?xar?r, zbaw?nal?g",3
31,"Bizd? d? b?zi m?murl?r s?x?blar, gör?k nec? olur.",2
32,"Ancaq sizd?n bir ?ey soru?maq ist?yir?m, m?nim saf q?lbli dostum, siz o q?z?n x?trini çox ist?yirsiniz?",2
33,"Hindistan v? Braziliyan?n iqtisadiyyat? güclü olsa da, ?halisi bizd?nd? be? bet?r b?rbad günd? ya?ay?r",3
34,Röv??n Bin?q?dili görüb birden bunada mahn? yazare).,3
35,"Mü??nnil?rin yataq ota??n? ç?k?n kanallar n?d?n h?min ada haqq?nda bir ç?kili? edib insanlar? m?lumatland?rm?r?Ada ?halisinin m???uliy?ti n? olub,i??q isitm? n? il? olub,?razisi n? q?d?r olub,?halinin milliy?ti kiml?r olub,neç? ail? olub.M?lumat? olanlar heç olmasa bundan yazs?n.Yoxsa allah r?hm?t etsin,Vitya ki?i yax?? adam idi kimi ??rhl?rl? vaxt itiririk",3
36,"Qiym?tl?rin liberalla?d?r?lmas? n?tic?sind? 1993-cü ild? qiym?tl?r 100 d?f?d?n çox artd?, inflyasiya 20-25% t??kil edirdi.",2
37,"Misal olaraq, kiçik texnik bel? yüks?k bacar??? il? böyük innovasiya ed? bil?r"",- dey? o bildirib.",1
38,heqiqeten ela film idi yoldaslar,1
39,Bizdede aciq olsa hele dayanmadan dolar,3
40,?ran noyabrda X?z?ryan? ölk?l?rin Ba? nazirl?rinin i?tirak? il? üçüncü X?z?r ?qtisadi Sammitin? ev sahibliyi ed?c?k.,2
41,"zamam deye birsey yoxdu, olcu vahidi kimi tetbiq olunub, qalmisdiki zamanda seyahet, Eynsteyn filan sey yazib deyede gelmiyin. materiya var ve materiyanin hal?,ve hecbir zaman deye birsey yoxdu",3
42,"C?lilabadda da var bel? bazar. El?  e?itmi??m, m?n d? onlar?n yalanç?s?yam. :D",1
43,Kakraz ele bunnan axdarirdim))),1
44,"Az?rbaycan SSR, sovet Az?rbaycan?, Ba??rov-Stalin dövrü",2
45,film ela idi axrini birazda uzatsaydilar lap ela olardi draculani oldurerdiler),1
46,"M?n onun ?lini ?lim? ald?m, onun ?li ölü ?li kimi yan?na dü?dü.",3
47,MA?ALLAH t?brik edir?m v? siz? sagl?kl? bereketli ömür arzulay?ram,1
48,"Gah aç?r, gah da açm?r i?l?mir.Çox b?rbadd?r ",3
49,Veril?n suyun keyfiyy?ti d? bir ayr? d?rddir. ?hali qazand???n? içm?li suya verir. Suyun keyfiyy?ti heç yuyunma?a da yaram?r .,3
50,"N?di,f?xr ed?k ki,6 milyonluq ma??nda g?zirik",3
51,Müharib?ni yaradanda el? böyük olk?l?rdi çunki ortada böyük miqdarda pullar var,2
52,Ka?ki ham? s?nin kimi m?rh?m?tli olayd? qarda?,1
53,"Hamid Jafarovv bir kurtkam var, 6 ildi geyiniri?m heç kim dan??m?r. Görürs?n da bunu",3
54,Ama reklami zor soxduz haqqhesaba.hec hiss elemedik )),3
55,?m?kdar artist Aygün B?yl?r haqq?nda yay?lan x?b?rl?r? münasib?t bildirib.,2
56,Menim istifade adim bloka dusub cixarin zehmet olmasa.,2
57,H?s?n?li mirz? 1855-ci ild? v?f?t ?dib.,2
58,Ekalogiyayada musbet tesiri var ma?in azalir.,1
59,?n çox i?çisi olan ?irk?t ?lham ??iyevin ?irk?tidi 8 milyon adam onun üçün i?diyir,3
60,?y?r s?hv etmir?ms? neç? il qabaq bütün dünyada  i??qlar   sönmü?dü.  B?s nec? oldu onda bu xolodelnik  isinm?di??  Donan zaman hüceyr?l?ri n? il? saxlay?blar b?s? H?r ?ey bir yana tutaq ki  ham?s?na çar? tapa bilibl?r b?s ruh? Ruhu nec? geri qaytaracaqlar.,2
61,Ukrayna g???ng bilirdi bel? olaca??na. Ona gör? haz?rl??li oldu. ?vv?l b?zi yerl?ri ?ld?n verdi. Camaat?n coxi q?r?ld?. Dünyan? acindirdi. Sonra 2ci h?ml?. Rusiyan? z?ifl?dib ?sas oyununu oynad? v? h?l? d? davam edir.,3
62,Yüre?i  merhametli insan ALLAH i?ini gücünü rast getirsin bu canlar? sevinirdin ya ALLAH  da seni sevindirsin  ya?ayas?n,1
63,Sumqay?t - Türk Torpa??d?r. Nahaq yer? Sumqay?tl? özün? Sumqay?t Türkü demir.,3
64,"Tural Humbatov az qal?b s?n d? bel? olacaqsanNu davay,research edin d? h?min mü?t?rini",3
65,"Adam?n kolleksiyas? olanda da,bel?si olsun",2
66,M?nim d? 31 ya??m var 55 ya?a ox?ay?ram :(,3
67,Yelena m?nim ?limd?n qurtarma?a çal??araq ç???rd?.,3
68,Qe??ng programd? pul qab? kimi çox yararl?d?r,1
69,Nikolay Sergeiç q?z?bl?n?r?k Vasilyevski k?ndini t?rk etdi.,3
70,Allah raz? olsun insan bel? olmal?d?,1
71,"?van Petroviç, do?rudan da, siz bu q?d?r pul alm?s?n?z?",2
72,El? h?kimin öz q?bulu da pis deyil. 60 manata q?bul edir. T?krar gedirs?n yen? 60 manat,2
73,...  .                (                )         --   .         .          --   ..          -          .     .  ... /,2
74,Gör ha... N?yin des?n söhb?tin etdil?r bu m?lumatda... Aidiyyat? olmayan söhb?tl?r...,3
75,"Bu kino lap ela maarifl?ndirici kinodur. Kims? bax?b düzgün qavramirsa, günah özünd?dir",1
76,Iki arada bir derde reklamda getdi..)),2
77,Qanunsuz ç?kilmi? x?td?n f?rdi ya?ay?? evl?ri su il? t?min olunub.,2
78,Nec? göz?l.nec? saf.nec? utancaq ab?rl? h?yal?.Danisiq m?d?niyy?ti... möht???m sad?c?.?sl televiziya,3
79,"Özüm siqaret ç?k?n?m, bununla bel? dayanacaqda, ?halinin s?x oldu?u yerd?, yeralt? keçidl?rd? siqaret ç?k?nl?ri h?r zaman q?nam??am, sivil davran??dan uzaq görmü??m. G?z?-g?z? siqaret ç?kib arxaya tüstüsünü üfl?y?n adamlara is? biryolluq qand?rmaq ist?rdim ki arxadan g?l?nl?r ail? üzvl?rind?n biri d? ola bil?r, tüstünü onlar?n ciy?rl?rin? ötürm?k ?n yüngül halda m?d?niyy?tsizlikdir.",3
80,Dedikleri demokratiya ancaq bu olsa gerek,3
81,"kim sevinir kimsi lezet eder ,ama evel ax?r? ,dunya islam? qebul edecek vay qebul etmeyenin hal?na.",2
82,“Magic mushroom” xüsusi ??raitd? küfl?ndirilmi? göb?l?kl?rdir. Narkotik kimi sat?l?r. Hollandiya.,2
83,Birc? Vandam çatm?rd? burda bütün ulduzlar bir araya g?lmi?di bu filmd?.,2
84,"2 ya??m olub. O dövr apar?c?lar? t?miz Az?rbaycan dilind? dan???rm??lar. Amma tarix bax?m?ndan sevmir?m SSR? ill?rini. Çünki, dövl?timiz rus i??al?nda olub.",3
85,Neymar nrc? raz?la??b bu h?yata?,2
86,?n çox diqq?timi c?lb ed?n estetiksiz q?zlar oldu . H?r birinin f?rqli simas? var.Indi ??h?r? ç?x?rsan ham? bir birin? ox?ay?r.,3
87,"Konul Mammadova commentler free "" gülm?k "" session ahahahahaha",1
88,Bu çox maraql? bir m?qal?dir. H?r gün pulsuz n?qliyyat xidm?tinin s?rni?inl?r üçün neç?yi oldu?unu öyr?nm?k h?y?canland?r?c?d?r. Bu qatar?n t?mir olunan su stansiyas?n?n yan?nda h?l? d? f?aliyy?t göst?rm?si maraql?d?r. Bu n?qliyyat vasit?si t?hsil v? i? yerl?rind? olan insanlar üçün böyük bir imkan t??kil edir. Çox t???kkür edir?m bu mü?llifin bilm?yimizi sa?lamas? üçün. #n?qliyyat,3
89,"Cavidan S?f?rov  hec kim bilmesede bu proyektde muhum rol oynadigini bilen men , fexr edirem senle qardashim",1
90,Nigar Kalfa r?yl?rd?n bilinir ölk?nin v?ziyy?ti,3
91,BU K?MD?RS? ?PHONED?N GÖZÜ DOYMUR,3
92,"B?LD?RÇ?N ?T? - 242 kKal  BU Q?YM?T B?R DAHA OLMAYACAQ. #Bildirçin ?ti Ba?lamada 50 ?d?dli = 1.30 ? (65 ?) #Bildirçin ?ti Delikates = 1.50 ? #Bildirçin ?ti Kabab & Tabakal?q = 2 ? #Qabla?d?r?lm?? 2 hiss?li 5 ?d?dli = 12 ? #L?v?ngi üçün 5 ?d?dli = 14 ? #Bildirçin #Far?? Lül? Kabab üçün 500 qr = 4 ?. #Bildirçin P?t?n?yi 500 qr = 8 ? #Ciy?r+Ür?k 500 qr = 7 ? #A? ?ti 100 qr = 5 ? #Bildirçin his? verilmi? 1 ?d = 1.50 ?. P?t?n?yi 1 kq = 15 ?  PULSUZ Çatd?r?lma wa.me/+994702980058  PULSUZ Çatd?rlma il? K?silib, t?mizl?nmi?. Bütöv v? ya iki hiss?li ist?diyiniz sayda, h?mçinin 5 ?d?dli qabla?d?r?lm??, Bildirçin ?ti il? dad? dama??n?zda qalacaq yem?kl?r bi?irin. Sifari? 1 gün önc?d?n. Topdan v? P?rak?nd?  Bildirçin Ba?lamada 50 ?d?dli = 1.30 ? (65 ?) Bildirçin ?ti Delikates = 1.50 ? Bildirçin ?ti Kabab. Tabaka & Qril üçün = 2 ? Qabla?d?r?lm?? 2 hiss?li 5 ?d?dli = 12 ? Qabla?d?rm?? L?v?ngilik 5 ?d?dli = 14 ? Bildirçin Far?? Lül? Kabab üçün 500 qr = 4 ? Bildirçin P?t?n?yi 500 qr = 8 ? Ciy?r+Ür?k 500 qr = 7 ? A? ?ti 100 qr = 5 ? Bildirçin his? verilmi? 1 ?d = 1.50 ?. P?t?n?yi 1 kq = 15 ?  PULSUZ Çatd?r?lma wa.me/+994702980058",2
93,7 d?f?  kims? bu mükafata ondan ba?qa sahib olan olacaq?)),2
94,Onun bel? saç daramas?ndan m?nim çox xo?um g?lirdi.,1
95,Tesekkur....bu..melumat..ucun.... Paylasdim.ki Bir..coz..insan .bunu..bilsin...,1
96,Sonra Müdafi? Nazirliyind? t?nt?n?li qar??lama m?rasimi keçirilib.,2
97,"Genetik faktor çox ön?mlidir , bundan ?lav? insulin dir?nci v? tsh yüks?k olanda bütüngün ac?ndan öl xeyri yoxdu m?ni kimi.. Onagör? idman h?r?k?t .... Doktordan ar?qlama iyn?l?ri varki endokrinoloqlarda onunla ba?l? m?lumat ist?rdim",2
98,Ba??m?z? bo? m?nas?z ?eyl?r? qatmasaq vaxt?m?z? bo?a x?rcl?m?s?k 83 cü yerd? olmazd?q çoxu ??rq ölk?l?ridi,3
99,Deqiq 700mindi?? Ay hay . Milyonlardie,3
