condition,text,gold,pred,auto_category,manual_category
baza,"Hind parlamentinin nümayəndəsi Sucheta Krıpalani yazır:“Atatürk yalnız türk millətinin deyil, azadlıq, müstəqillik uğrunda savaşan bütün millətlərin öndəriydi.",1,0,diger,
baza,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
baza,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
baza,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
baza,Albert Eynişeydi beynin potensialı desək daha doğru olar.,1,0,diger,
baza,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
baza,Genclik illeri omrumun en shirin en gozel qayqisiz illeri........,1,0,diger,
baza,Bu cür absürd olmayan tərcümələrin davamlı olması çox gözəl olardı...)),1,0,diger,
baza,"Beləliklə, İ.Zaretska üçqat dünya çempionu olub.",1,0,diger,
baza,Səhv etmirəmsə Estoniyanın Tallin şəhərində də içtimai nəqliyyat pulsuzdur,1,0,diger,
baza,9-cu bəhanə daha yaxşı əsaslandırılıb )),1,0,diger,
her_ikisi,"Ölən adam qəbrinin üstündə yazacaq ki,mən heç kimlə evlənmək istəmirəm bari qəbirdə rahat buraxin rahat yatım:):):)",0,1,diger,
her_ikisi,Qarşıda ordumuzu gözləyən daha şərəfli və çətin missiyalar var.,1,0,diger,
her_ikisi,Nəhayətki ərizə yazıb işdən ayrıldım,0,1,diger,
her_ikisi,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
her_ikisi,"Men dasiyaram. Bilsem ki, pul mene qalacaq",0,1,diger,
her_ikisi,Ərəb ölkələri pramoy Amerikanın hökmranlığını qəbul edib deyə fərah içində yaşayırlar. Qarşı çıxan bütün ölkələr bata bata gedir,0,1,diger,
her_ikisi,Ma nə var bəzi baltabaşlardan 100 dəfə yaxşıdı səsi,1,0,diger,
her_ikisi,Hər ogulun duxu doyule belə tarixi qoruyub saxlasin halal olsun sənə ağsaqqal,1,0,diger,
her_ikisi,"Pls, approve edin, Flow getmir. Kind reminder edin, maraqli keysdir, deadline bitir ve s.",0,1,diger,
her_ikisi,Oxudum. Əslində masraf israfçılıq. Birdə ən önəmlisi insan sağlamlığının itirilməsi..,0,1,diger,
her_ikisi,Onu bir də push elə görək nə olur.,0,1,diger,
her_ikisi,Dəli zad deyil ki azərbaycana nəyə gəlir,0,1,diger,
her_ikisi,"Yox, Nelli, o qız uzaq bir yerə gedəcək, mülkədara ərə gedəcək, o qoca tək qalacaq.",0,1,diger,
her_ikisi,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
her_ikisi,Dünya çempionatı Ronaldonu qazana bilmədi...,0,1,diger,
her_ikisi,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
her_ikisi,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
her_ikisi,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
her_ikisi,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
her_ikisi,Clarification session kecirmek lazimdir,0,1,diger,
her_ikisi,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
her_ikisi,Dünyanın isinməsinə səbəbkar insanlardı günəş yox!,0,1,diger,
her_ikisi,"Kövrəldim...  elə bilirəm tək mənim oğlum belədi məğlub olan kimi ağlayır, məni axtarır",0,1,diger,
her_ikisi,Karandaşin ucunu toz halina cevirib soda ile qarisdirib  ustne super kley vuranda. Mega super kley olur svarka kimi,1,0,diger,
her_ikisi,Birazda düşsələr cəhənnəmə çatacaqlar)),0,1,morfoloji,
her_ikisi,Və doğum zamanı qadın insanın 40 sümüyün qırıldığı zaman hiss etdiyi ağrını ən azı 1-2 saat hiss edir. Amma yenədə dünyanın ən möhtəşəm hissi övladını qucağına almaqdır. Allah bütün xanımlara qismət eləsin inşallah,1,0,diger,
her_ikisi,"Mən, əlbəttə, lap sevinə-sevinə bütün xeyirli işlərə pul verirəm, bu qədər pul axı mənim nəyimə lazımdır, elə deyilmi?",1,0,diger,
her_ikisi,Düşündüklərimizi oxuya bilən cihaz olsa sağ qalan adam olmaz),0,1,diger,
her_ikisi,Yox. Təklif etməyin. Yoxsa ziyana gedər həmin böyük şirkətlər.,0,1,diger,
her_ikisi,"nə əcəb kimsə yazmayıb ki,""qoqo,qurondo bu borodo yozolob""",0,1,diger,
tokenizator,"Möhtəşəm tətbiqdi, çox bəyəndim. Bütün restoranlar tətbiqin daxilində mövcuddur. İnterfeys möhtəşəmdir.",1,0,morfoloji,
tokenizator,Bildiyimiz bicbalaların yeni versiyasın yaradıllar,1,0,diger,
tokenizator,Qarşıda ordumuzu gözləyən daha şərəfli və çətin missiyalar var.,1,0,diger,
tokenizator,"Halal olsun Məmmədə (sözgəlişi),atasınin yasında Moskvadan qızlar gətizdirmişdi.)))",1,0,morfoloji,
tokenizator,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
tokenizator,Allah kömeyin olsün gözrl qardaş.,1,0,diger,
tokenizator,Ma nə var bəzi baltabaşlardan 100 dəfə yaxşıdı səsi,1,0,diger,
tokenizator,"Həm maddi texniki vəziyyəti, həm də mənəvi mühiti gücləndiriləcək.",1,0,morfoloji,
tokenizator,Hər ogulun duxu doyule belə tarixi qoruyub saxlasin halal olsun sənə ağsaqqal,1,0,diger,
tokenizator,4K UHD 3D izləyənlərin yuxusu?)))),1,0,morfoloji,
tokenizator,"Mənə görə ən maraqlı elm tarixdir. Arxeoloji qazıntılar, ehramlar, qədim qəbirlər... hətda tarixi filmlər belə.",1,0,diger,
tokenizator,Sobsan Boya görün neynirsiz də) yaxşi pul var bu işdə,1,0,diger,
tokenizator,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
tokenizator,Allah uzun omur versinn...hamiya nesib olsun belee 50 ilikk,1,0,diger,
tokenizator,Sarvar Rustamov bu rahatlıqdan istəyirəm),1,0,diger,
tokenizator,Yaxwi sihledilazimiydi sene denen?),1,0,diger,
tokenizator,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
tokenizator,"Heyranam bu arılara da, bu arıları yaradana da",1,0,diger,
tokenizator,"Bu, dövlətimizin təkcə Azərbaycanın gələcək inkişafına deyil, həm də iqlim dəyişikliyi ilə bağlı məsələlərə töhfəsidir.",1,0,morfoloji,
tokenizator,"Hind parlamentinin nümayəndəsi Sucheta Krıpalani yazır:“Atatürk yalnız türk millətinin deyil, azadlıq, müstəqillik uğrunda savaşan bütün millətlərin öndəriydi.",1,0,diger,
tokenizator,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
tokenizator,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
tokenizator,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
tokenizator,Albert Eynişeydi beynin potensialı desək daha doğru olar.,1,0,diger,
tokenizator,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
tokenizator,Genclik illeri omrumun en shirin en gozel qayqisiz illeri........,1,0,diger,
tokenizator,Bu cür absürd olmayan tərcümələrin davamlı olması çox gözəl olardı...)),1,0,diger,
tokenizator,"Beləliklə, İ.Zaretska üçqat dünya çempionu olub.",1,0,diger,
tokenizator,Səhv etmirəmsə Estoniyanın Tallin şəhərində də içtimai nəqliyyat pulsuzdur,1,0,diger,
tokenizator,9-cu bəhanə daha yaxşı əsaslandırılıb )),1,0,diger,
transplant_mean,"Möhtəşəm tətbiqdi, çox bəyəndim. Bütün restoranlar tətbiqin daxilində mövcuddur. İnterfeys möhtəşəmdir.",1,0,morfoloji,
transplant_mean,Bildiyimiz bicbalaların yeni versiyasın yaradıllar,1,0,diger,
transplant_mean,Qarşıda ordumuzu gözləyən daha şərəfli və çətin missiyalar var.,1,0,diger,
transplant_mean,"Halal olsun Məmmədə (sözgəlişi),atasınin yasında Moskvadan qızlar gətizdirmişdi.)))",1,0,morfoloji,
transplant_mean,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
transplant_mean,Allah kömeyin olsün gözrl qardaş.,1,0,diger,
transplant_mean,Ma nə var bəzi baltabaşlardan 100 dəfə yaxşıdı səsi,1,0,diger,
transplant_mean,"Həm maddi texniki vəziyyəti, həm də mənəvi mühiti gücləndiriləcək.",1,0,morfoloji,
transplant_mean,Hər ogulun duxu doyule belə tarixi qoruyub saxlasin halal olsun sənə ağsaqqal,1,0,diger,
transplant_mean,4K UHD 3D izləyənlərin yuxusu?)))),1,0,morfoloji,
transplant_mean,"Mənə görə ən maraqlı elm tarixdir. Arxeoloji qazıntılar, ehramlar, qədim qəbirlər... hətda tarixi filmlər belə.",1,0,diger,
transplant_mean,Sobsan Boya görün neynirsiz də) yaxşi pul var bu işdə,1,0,diger,
transplant_mean,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
transplant_mean,Allah uzun omur versinn...hamiya nesib olsun belee 50 ilikk,1,0,diger,
transplant_mean,Sarvar Rustamov bu rahatlıqdan istəyirəm),1,0,diger,
transplant_mean,Yaxwi sihledilazimiydi sene denen?),1,0,diger,
transplant_mean,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
transplant_mean,"Heyranam bu arılara da, bu arıları yaradana da",1,0,diger,
transplant_mean,"Bu, dövlətimizin təkcə Azərbaycanın gələcək inkişafına deyil, həm də iqlim dəyişikliyi ilə bağlı məsələlərə töhfəsidir.",1,0,morfoloji,
transplant_mean,"Hind parlamentinin nümayəndəsi Sucheta Krıpalani yazır:“Atatürk yalnız türk millətinin deyil, azadlıq, müstəqillik uğrunda savaşan bütün millətlərin öndəriydi.",1,0,diger,
transplant_mean,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
transplant_mean,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
transplant_mean,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
transplant_mean,Albert Eynişeydi beynin potensialı desək daha doğru olar.,1,0,diger,
transplant_mean,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
transplant_mean,Genclik illeri omrumun en shirin en gozel qayqisiz illeri........,1,0,diger,
transplant_mean,Bu cür absürd olmayan tərcümələrin davamlı olması çox gözəl olardı...)),1,0,diger,
transplant_mean,"Beləliklə, İ.Zaretska üçqat dünya çempionu olub.",1,0,diger,
transplant_mean,Səhv etmirəmsə Estoniyanın Tallin şəhərində də içtimai nəqliyyat pulsuzdur,1,0,diger,
transplant_mean,9-cu bəhanə daha yaxşı əsaslandırılıb )),1,0,diger,
transplant_random_coef,"Möhtəşəm tətbiqdi, çox bəyəndim. Bütün restoranlar tətbiqin daxilində mövcuddur. İnterfeys möhtəşəmdir.",1,0,morfoloji,
transplant_random_coef,Bildiyimiz bicbalaların yeni versiyasın yaradıllar,1,0,diger,
transplant_random_coef,Qarşıda ordumuzu gözləyən daha şərəfli və çətin missiyalar var.,1,0,diger,
transplant_random_coef,"Halal olsun Məmmədə (sözgəlişi),atasınin yasında Moskvadan qızlar gətizdirmişdi.)))",1,0,morfoloji,
transplant_random_coef,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
transplant_random_coef,Allah kömeyin olsün gözrl qardaş.,1,0,diger,
transplant_random_coef,Ma nə var bəzi baltabaşlardan 100 dəfə yaxşıdı səsi,1,0,diger,
transplant_random_coef,"Həm maddi texniki vəziyyəti, həm də mənəvi mühiti gücləndiriləcək.",1,0,morfoloji,
transplant_random_coef,Hər ogulun duxu doyule belə tarixi qoruyub saxlasin halal olsun sənə ağsaqqal,1,0,diger,
transplant_random_coef,4K UHD 3D izləyənlərin yuxusu?)))),1,0,morfoloji,
transplant_random_coef,"Mənə görə ən maraqlı elm tarixdir. Arxeoloji qazıntılar, ehramlar, qədim qəbirlər... hətda tarixi filmlər belə.",1,0,diger,
transplant_random_coef,Sobsan Boya görün neynirsiz də) yaxşi pul var bu işdə,1,0,diger,
transplant_random_coef,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
transplant_random_coef,Allah uzun omur versinn...hamiya nesib olsun belee 50 ilikk,1,0,diger,
transplant_random_coef,Sarvar Rustamov bu rahatlıqdan istəyirəm),1,0,diger,
transplant_random_coef,Yaxwi sihledilazimiydi sene denen?),1,0,diger,
transplant_random_coef,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
transplant_random_coef,"Heyranam bu arılara da, bu arıları yaradana da",1,0,diger,
transplant_random_coef,"Bu, dövlətimizin təkcə Azərbaycanın gələcək inkişafına deyil, həm də iqlim dəyişikliyi ilə bağlı məsələlərə töhfəsidir.",1,0,morfoloji,
transplant_random_coef,"Hind parlamentinin nümayəndəsi Sucheta Krıpalani yazır:“Atatürk yalnız türk millətinin deyil, azadlıq, müstəqillik uğrunda savaşan bütün millətlərin öndəriydi.",1,0,diger,
transplant_random_coef,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
transplant_random_coef,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
transplant_random_coef,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
transplant_random_coef,Albert Eynişeydi beynin potensialı desək daha doğru olar.,1,0,diger,
transplant_random_coef,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
transplant_random_coef,Genclik illeri omrumun en shirin en gozel qayqisiz illeri........,1,0,diger,
transplant_random_coef,Bu cür absürd olmayan tərcümələrin davamlı olması çox gözəl olardı...)),1,0,diger,
transplant_random_coef,"Beləliklə, İ.Zaretska üçqat dünya çempionu olub.",1,0,diger,
transplant_random_coef,Səhv etmirəmsə Estoniyanın Tallin şəhərində də içtimai nəqliyyat pulsuzdur,1,0,diger,
transplant_random_coef,9-cu bəhanə daha yaxşı əsaslandırılıb )),1,0,diger,
turk,"Möhtəşəm tətbiqdi, çox bəyəndim. Bütün restoranlar tətbiqin daxilində mövcuddur. İnterfeys möhtəşəmdir.",1,0,morfoloji,
turk,Bildiyimiz bicbalaların yeni versiyasın yaradıllar,1,0,diger,
turk,Qarşıda ordumuzu gözləyən daha şərəfli və çətin missiyalar var.,1,0,diger,
turk,"Halal olsun Məmmədə (sözgəlişi),atasınin yasında Moskvadan qızlar gətizdirmişdi.)))",1,0,morfoloji,
turk,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
turk,Allah kömeyin olsün gözrl qardaş.,1,0,diger,
turk,Ma nə var bəzi baltabaşlardan 100 dəfə yaxşıdı səsi,1,0,diger,
turk,"Həm maddi texniki vəziyyəti, həm də mənəvi mühiti gücləndiriləcək.",1,0,morfoloji,
turk,Hər ogulun duxu doyule belə tarixi qoruyub saxlasin halal olsun sənə ağsaqqal,1,0,diger,
turk,4K UHD 3D izləyənlərin yuxusu?)))),1,0,morfoloji,
turk,"Mənə görə ən maraqlı elm tarixdir. Arxeoloji qazıntılar, ehramlar, qədim qəbirlər... hətda tarixi filmlər belə.",1,0,diger,
turk,Sobsan Boya görün neynirsiz də) yaxşi pul var bu işdə,1,0,diger,
turk,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
turk,Allah uzun omur versinn...hamiya nesib olsun belee 50 ilikk,1,0,diger,
turk,Sarvar Rustamov bu rahatlıqdan istəyirəm),1,0,diger,
turk,Yaxwi sihledilazimiydi sene denen?),1,0,diger,
turk,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
turk,"Heyranam bu arılara da, bu arıları yaradana da",1,0,diger,
turk,"Bu, dövlətimizin təkcə Azərbaycanın gələcək inkişafına deyil, həm də iqlim dəyişikliyi ilə bağlı məsələlərə töhfəsidir.",1,0,morfoloji,
turk,"Hind parlamentinin nümayəndəsi Sucheta Krıpalani yazır:“Atatürk yalnız türk millətinin deyil, azadlıq, müstəqillik uğrunda savaşan bütün millətlərin öndəriydi.",1,0,diger,
turk,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
turk,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
turk,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
turk,Albert Eynişeydi beynin potensialı desək daha doğru olar.,1,0,diger,
turk,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
turk,Genclik illeri omrumun en shirin en gozel qayqisiz illeri........,1,0,diger,
turk,Bu cür absürd olmayan tərcümələrin davamlı olması çox gözəl olardı...)),1,0,diger,
turk,"Beləliklə, İ.Zaretska üçqat dünya çempionu olub.",1,0,diger,
turk,Səhv etmirəmsə Estoniyanın Tallin şəhərində də içtimai nəqliyyat pulsuzdur,1,0,diger,
turk,9-cu bəhanə daha yaxşı əsaslandırılıb )),1,0,diger,
turk_qarisiq,"Ölən adam qəbrinin üstündə yazacaq ki,mən heç kimlə evlənmək istəmirəm bari qəbirdə rahat buraxin rahat yatım:):):)",0,1,diger,
turk_qarisiq,Stellani pulsuz reklam edirsen bize çatanda  nan,0,1,diger,
turk_qarisiq,İnternet yeni qoşulan günlərdə çox yaxşı olsada aylar ərzində bu normala indi isə bərbada dönüb. Adi zoom əlaqəsi belə qurmaqda aciz olan bu internetə çara görməli olduğunu anlayan Baktelecom intereti düzəltmək əvəzinə evlərə zəng edib internet paketlərini yüksəltməyi təəklif edir.,0,1,diger,
turk_qarisiq,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
turk_qarisiq,onlar  129 il  əvvəl ən azınnan  bunu ediblər ama bizim hələdə öz istehsal etdiyimiz avtomabil yoxdu,0,1,diger,
turk_qarisiq,↘  ↘ Gizli və məxfi həyəcan yaşamaq istəyən xanımlar yaza bilər.Məxfiliyə və gizliliyə zəmanət verilir.Her şey siz istəyə uyğun edilir. Qeyd :Məndə məkan yoxdur. Ətraflı məlumat üçün inboxa yaza bilərsiniz.,0,1,diger,
turk_qarisiq,Ərəb ölkələri pramoy Amerikanın hökmranlığını qəbul edib deyə fərah içində yaşayırlar. Qarşı çıxan bütün ölkələr bata bata gedir,0,1,diger,
turk_qarisiq,"Pls, approve edin, Flow getmir. Kind reminder edin, maraqli keysdir, deadline bitir ve s.",0,1,diger,
turk_qarisiq,Oxudum. Əslində masraf israfçılıq. Birdə ən önəmlisi insan sağlamlığının itirilməsi..,0,1,diger,
turk_qarisiq,"Hamıya salam, Şikayətim Starex.az şirkətindəndi. Starexdə martın 4-də Çin anbarına daxil olan bağlamam hələ də göndərilməyib. Dəfələrlə rəsmi səhifəyə mesaj yazmışam. Hər dəfə də bugün sabah deyirlər. Bu ki, gömrük problemi deyil ki, anlayış göstərək. Smart customs-da da bəyan edilib. 25 martda da d",0,1,yalanci_dost,
turk_qarisiq,Dəli zad deyil ki azərbaycana nəyə gəlir,0,1,diger,
turk_qarisiq,"Yox, Nelli, o qız uzaq bir yerə gedəcək, mülkədara ərə gedəcək, o qoca tək qalacaq.",0,1,diger,
turk_qarisiq,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
turk_qarisiq,Dünya çempionatı Ronaldonu qazana bilmədi...,0,1,diger,
turk_qarisiq,"329 manata olan party boxda, ancaq segah dinleye bilersiniz ama, bass verende kalonkalar achilir :d",0,1,diger,
turk_qarisiq,"Hər kəsin xoşbəxtlik anlayışı fərqlidir, hər kəs xoşbəxtliyi eyni şeydə görə bilməz. Kimisi üçün xoşbəxtlik canınım sağlığı, kimisi üçün pulun çoxluğu, kimisi üçün evlilik, kimisi üçün ana olmaq, təhsil almaq, karierası, xaricə köçmək, səyahətlər, idmanla məşğul olması və s. Yəni hər kəsdə müxtəlif ",0,1,diger,
turk_qarisiq,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
turk_qarisiq,"Öskürməklə ,asqırmaqla olası iş deyil. Mövzu agır olub. Zirvədə iz buraxıblar",1,0,diger,
turk_qarisiq,"Bu isə nə yaxşı bir inamdır, çünki bunsuz heç pis də yaşamaq olmaz, onda gərək adam özünü zəhərləyib öldürsün.",1,0,diger,
turk_qarisiq,"Hərbi biliyi, təcrübəsi və cəsarəti sayəsində az qüvvə ilə hazırladığı əməliyyatların, demək olar ki, hamısını uğurla başa çatdırırdı.",1,0,diger,
turk_qarisiq,Clarification session kecirmek lazimdir,0,1,diger,
turk_qarisiq,Bir qohum var iynəni şillə ilə vururdu o yadıma düşdü adamın heç ruhu da incimirdi ((:,1,0,diger,
turk_qarisiq,"Mən 2 aydır ki, CityNet internetini istifadə edirəm. 2 ay ərzində 5 dəfə getmişəm ofisə. İnternet sürəti çox zəifdir və tez tez kəsilir. Test üçün başqa modem verdilər, 1 ay istifadə etdik, sürəti, işləməsi gözəl idi. Dünən dedilər ki, onu götürməliyik, təzə modem verdilər. (Bu da texniki problem ol",0,1,diger,
turk_qarisiq,"Beləliklə, İ.Zaretska üçqat dünya çempionu olub.",1,0,diger,
turk_qarisiq,Salam menim 2sifarişim martın 5 i elet poçtuna gel al menteqesine çatdirilma üçün yoldadı yazıb.15 i sorğu açdılar .19 u mesaj geldi karqonun biri poçtdadı amma Trendyol sehifemde eks olunmur.adi SMS bildirişde ise gelib ala bilersiz Yazır .O biri karqom itib melumat yoxdu.,0,1,diger,
turk_qarisiq,Səhv etmirəmsə Estoniyanın Tallin şəhərində də içtimai nəqliyyat pulsuzdur,1,0,diger,
